Symbol,Returns,Volatility
CDSL.NS,0.0020072452471420416,0.02995256554189112
CENTURYPLY.NS,-0.00023656636084674242,0.029714421360216448
CENTURYTEX.NS,-0.0024185992476375593,0.029252450407087814
CERA.NS,0.0011094851131628653,0.02549159618593671
CHALET.NS,-0.00039945839424803466,0.01580462911528814
CHAMBLFERT.NS,0.0009504885244108362,0.01570675387745297
CHEMPLASTS.NS,-0.0009044519695087495,0.02446223427136603
CHOLAHLDNG.NS,0.0012559414664092801,0.023333188019766114
CHOLAFIN.NS,0.0015587200866325507,0.01849666809287834
CIPLA.NS,-0.0012824441998595096,0.026500150670492842
CUB.NS,-0.00020814443546216167,0.012774093569761677
CLEAN.NS,0.00029333838819779214,0.021446237204744936
COALINDIA.NS,0.0006695054110646601,0.019122971366539433
